lemme,cgram,gender,freqlivres_total,french_formatted,english
couvrir,VER,,133.54,couvrir,cover
larme,NOM,f,133.51,la larme,the tear
préférer,VER,,133.41,préférer,prefer
tel,ADJ:ind,,133.31,tel,tel
éloigner,VER,,133.14,éloigner,to move away
siècle,NOM,m,132.9,le siècle,the century
mesure,NOM,f,132.84,la mesure,the measure
échapper,VER,,132.66,échapper,escape
patron,NOM,m,132.43,le patron,the boss
jaune,ADJ,,132.43,jaune,YELLOW
ouvert,ADJ,,132.37,ouvert,open
gouvernement,NOM,m,132.03,le gouvernement,the government
puisque,CON,,131.95999999999998,puisque,since (causal)
voisin,NOM,m,131.55,le voisin,the neighbor
ennemi,NOM,m,131.02,le ennemi,the enemy
rapport,NOM,m,130.95,le rapport,the report
chat,NOM,m,130.75,le chat,the cat
moindre,ADJ,,130.26999999999998,moindre,lesser
mètre,NOM,m,130.06,le mètre,the meter
humain,ADJ,,129.86,humain,human
quelqu'un,PRO:ind,,128.92,quelqu'un,someone
soldat,NOM,m,128.92,le soldat,the soldier
demeurer,VER,,128.84,demeurer,remain
rêve,NOM,m,128.58,le rêve,the dream
abandonner,VER,,128.47,abandonner,give up
doucement,ADV,,128.38,doucement,gently
dîner,NOM,m,128.26,le dîner,dinner
rêver,VER,,128.18,rêver,dream
genou,NOM,m,127.91,le genou,the knee
telle,ADJ:ind,,127.77,telle,such
oncle,NOM,m,127.7,le oncle,the uncle
éprouver,VER,,127.1,éprouver,experience
tenter,VER,,127.0,tenter,to attempt
calme,ADJ,,126.9,calme,calm
prêt,ADJ,,126.83,prêt,ready
atteindre,VER,,126.76,atteindre,reach
tôt,ADV,,126.76,tôt,early
exemple,NOM,m,126.62,le exemple,the example
assurer,VER,,126.57,assurer,ensure
langue,NOM,f,126.28,la langue,the tongue
appuyer,VER,,126.04,appuyer,to press
